block                    pureInt   rel  recall    mm/pt     1:X   std   err%    ≤2%    ≤5%  cntrd   c≤2%   c≤5%  any2%
ar_plan                      400   279   0.698   35.283  100.01   100   0.01   0.33   0.34    256   0.35   0.37   0.47
ar_wall_sections              44    33    0.75   17.644   50.02    50   0.03   0.18   0.21     33   0.18   0.21   0.48
eom_singleline_changed         0     0    None    0.000    None  None   None   0.00   0.00      0   0.00   0.00   0.00
fresh_ar_legend                1     1     1.0   22.283   63.16    75  15.78   1.00   1.00      1   1.00   1.00   1.00
fresh_ar_lintels              10    10     1.0    3.546   10.05    10   0.52   0.50   0.50     10   0.50   0.50   0.50
fresh_kj_plan_part            32    26   0.812   48.328  136.99   100  36.99   0.08   0.12     26   0.08   0.12   0.08
fresh_kj_sections              8     6    0.75   17.612   49.92    50   0.15   0.33   0.33      6   0.33   0.33   0.33
fresh_ov_spec_table           35    23   0.657   31.881   90.37   100   9.63   0.13   0.13     23   0.13   0.13   0.13
ss_plan_dense                 28    26   0.929   35.269   99.97   100   0.03   0.73   0.73     26   0.73   0.73   0.77
ss_scheme_text_changed         0     0    None    0.000    None  None   None   0.00   0.00      0   0.00   0.00   0.00
ss_simple_node                 0     0    None    0.000    None  None   None   0.00   0.00      0   0.00   0.00   0.00
ss_table_graphic               1     1     1.0    0.454    1.29     1  28.68   1.00   1.00      1   1.00   1.00   1.00
vk_node_plan                  10    10     1.0    0.609    1.73     2  13.74   0.20   0.20      6   0.33   0.33   0.20
vk_nodes                      23    20    0.87    7.073   20.05    20   0.25   0.35   0.40     18   0.39   0.44   0.45
vk_plan                        8     7   0.875    6.285   17.82    20  10.92   0.86   0.86      7   0.86   0.86   0.86
