===== unit_mode=span  units=6751
relation                      hits  hit_rate  unique  uniq|hit  primary
dimension_interval            1506     0.223     411    0.2729     1506
dimension_line_only           1967     0.291    1057    0.5374     1014
leader                        3217     0.476     456    0.1417     1770
symbol_cluster                1617     0.239    1506    0.9314      454
enclosure_tight               1830     0.271     587    0.3208      104
contour_caption               1517     0.225     866    0.5709      134
repeated_label                1152     0.171    1152       1.0      100
grid_cell                     5487     0.813    5487       1.0      966
between_extension_lines       3871     0.573     168    0.0434       57
band_association              4543     0.673     298    0.0656      351
along_line                    3602     0.534    1720    0.4775       98
enclosure_loose               1169     0.173     793    0.6784        0
text_alignment                6508     0.964    6508       1.0        0
nearest_geometry              6404     0.949    2108    0.3292        0
unbound                                                             197

===== unit_mode=line  units=4597
relation                      hits  hit_rate  unique  uniq|hit  primary
dimension_interval            1386     0.301     344    0.2482     1386
dimension_line_only           1514     0.329     862    0.5694      652
leader                        2334     0.508     300    0.1285     1277
symbol_cluster                1006     0.219     928    0.9225      215
enclosure_tight               1222     0.266     334    0.2733       57
contour_caption               1156     0.252     635    0.5493       90
repeated_label                 898     0.195     898       1.0       77
grid_cell                     3835     0.834    3835       1.0      534
between_extension_lines       2734     0.595     126    0.0461       39
band_association              3073     0.668     167    0.0543      181
along_line                    2483     0.540    1205    0.4853       26
enclosure_loose                932     0.203     636    0.6824        0
text_alignment                4133     0.899    4133       1.0        0
nearest_geometry              4457     0.970    1391    0.3121        0
unbound                                                              63

