block_id,page,after_source,before_findings,after_findings,findings_delta,before_key_values,after_key_values,key_values_delta,before_summary_len,after_summary_len,summary_len_delta,before_unreadable,after_unreadable,review_reasons
43L7-P9UL-VYD,10,flash_single_block,0,0,0,8,50,42,111,337,226,False,False,
46LP-7CN7-GG6,13,flash_single_block,0,0,0,4,18,14,178,231,53,False,False,
4JYF-HEKU-VVV,10,flash_single_block,0,0,0,4,18,14,118,302,184,False,False,
4MAU-AT9Y-QRP,8,pro_single_block,0,2,2,3,6,3,150,113,-37,False,False,findings_added
4MQJ-6NXP-4YH,12,pro_single_block,1,4,3,10,21,11,154,100,-54,False,False,
4UTW-PPGP-VEN,7,pro_single_block,0,2,2,7,17,10,180,134,-46,False,False,findings_added
4WTD-JFKA-JLE,10,pro_single_block,1,3,2,3,27,24,148,103,-45,False,False,
6DRC-7KQL-9TJ,8,pro_single_block,0,2,2,6,5,-1,128,186,58,False,False,findings_added
6PCX-NFHU-6KW,12,flash_single_block,0,0,0,7,13,6,122,244,122,False,False,
7KCK-7PJC-U3E,8,flash_single_block,0,0,0,4,6,2,162,186,24,False,False,
7MAJ-EMC4-KNJ,9,flash_single_block,0,0,0,2,10,8,121,325,204,False,False,
7NAU-TNME-3AR,12,flash_single_block,0,0,0,6,11,5,126,154,28,False,False,
7QUU-QDA4-N7D,12,pro_single_block,1,3,2,5,10,5,124,154,30,False,False,
7RD6-7GYX-MVT,10,flash_single_block,0,0,0,4,9,5,130,300,170,False,False,
9GNP-D7CE-RYM,8,pro_single_block,1,2,1,8,11,3,165,136,-29,False,False,
9J9X-DXHT-6GJ,11,flash_single_block,0,0,0,4,7,3,148,219,71,False,False,
9LPD-VX9H-YHK,12,flash_single_block,2,0,-2,5,22,17,144,188,44,False,False,findings_disappeared
9XLH-7CNM-MFW,11,flash_single_block,0,0,0,3,5,2,178,184,6,False,False,
D9MX-LMX7-6QX,10,flash_single_block,0,0,0,5,9,4,109,131,22,False,False,
DTGF-MYHX-PPD,12,flash_single_block,0,0,0,8,23,15,120,152,32,False,False,
HJ7G-VWTF-CGV,10,flash_single_block,0,0,0,5,11,6,135,223,88,False,False,
MANG-C46A-EH7,12,flash_single_block,1,0,-1,7,13,6,131,205,74,False,False,findings_disappeared
RELE-MX3A-MEN,11,pro_single_block,1,1,0,6,12,6,137,211,74,False,False,
TULW-YCYU-YVQ,13,flash_single_block,0,0,0,4,76,72,195,324,129,False,False,
VGGJ-3ULF-TLV,7,flash_single_block,0,0,0,4,5,1,131,110,-21,False,False,
